schema_version	file	lobe	feature_sha256	universe_sha256	keys_sha256
1	20260101_scan01.sxm	1	84e365768e57e7b724ca375556db382699dbc7e6602e8eb64466ad3e8d7a4442	dc3b530bf3b6d906f33f7fa15c1ae27acfe9b5cc8cb0fe421f902de0b2eb7f1f	40728f7e69f6e8f31a746a465b5b477d689c9a19daf14fe2f380eaf020b7fff6
1	20260101_scan01.sxm	2	84e365768e57e7b724ca375556db382699dbc7e6602e8eb64466ad3e8d7a4442	dc3b530bf3b6d906f33f7fa15c1ae27acfe9b5cc8cb0fe421f902de0b2eb7f1f	40728f7e69f6e8f31a746a465b5b477d689c9a19daf14fe2f380eaf020b7fff6
1	20260101_scan01.sxm	3	84e365768e57e7b724ca375556db382699dbc7e6602e8eb64466ad3e8d7a4442	dc3b530bf3b6d906f33f7fa15c1ae27acfe9b5cc8cb0fe421f902de0b2eb7f1f	40728f7e69f6e8f31a746a465b5b477d689c9a19daf14fe2f380eaf020b7fff6
1	20260101_scan01.sxm	4	84e365768e57e7b724ca375556db382699dbc7e6602e8eb64466ad3e8d7a4442	dc3b530bf3b6d906f33f7fa15c1ae27acfe9b5cc8cb0fe421f902de0b2eb7f1f	40728f7e69f6e8f31a746a465b5b477d689c9a19daf14fe2f380eaf020b7fff6
1	20260101_scan01.sxm	5	84e365768e57e7b724ca375556db382699dbc7e6602e8eb64466ad3e8d7a4442	dc3b530bf3b6d906f33f7fa15c1ae27acfe9b5cc8cb0fe421f902de0b2eb7f1f	40728f7e69f6e8f31a746a465b5b477d689c9a19daf14fe2f380eaf020b7fff6
1	20260101_scan01.sxm	6	84e365768e57e7b724ca375556db382699dbc7e6602e8eb64466ad3e8d7a4442	dc3b530bf3b6d906f33f7fa15c1ae27acfe9b5cc8cb0fe421f902de0b2eb7f1f	40728f7e69f6e8f31a746a465b5b477d689c9a19daf14fe2f380eaf020b7fff6
1	20260101_scan02.sxm	1	84e365768e57e7b724ca375556db382699dbc7e6602e8eb64466ad3e8d7a4442	dc3b530bf3b6d906f33f7fa15c1ae27acfe9b5cc8cb0fe421f902de0b2eb7f1f	40728f7e69f6e8f31a746a465b5b477d689c9a19daf14fe2f380eaf020b7fff6
1	20260101_scan02.sxm	2	84e365768e57e7b724ca375556db382699dbc7e6602e8eb64466ad3e8d7a4442	dc3b530bf3b6d906f33f7fa15c1ae27acfe9b5cc8cb0fe421f902de0b2eb7f1f	40728f7e69f6e8f31a746a465b5b477d689c9a19daf14fe2f380eaf020b7fff6
1	20260101_scan02.sxm	3	84e365768e57e7b724ca375556db382699dbc7e6602e8eb64466ad3e8d7a4442	dc3b530bf3b6d906f33f7fa15c1ae27acfe9b5cc8cb0fe421f902de0b2eb7f1f	40728f7e69f6e8f31a746a465b5b477d689c9a19daf14fe2f380eaf020b7fff6
1	20260101_scan02.sxm	4	84e365768e57e7b724ca375556db382699dbc7e6602e8eb64466ad3e8d7a4442	dc3b530bf3b6d906f33f7fa15c1ae27acfe9b5cc8cb0fe421f902de0b2eb7f1f	40728f7e69f6e8f31a746a465b5b477d689c9a19daf14fe2f380eaf020b7fff6
