schema_version	file	date	lobe_count	feature_sha256	candidate_config_sha256	model_config_sha256	source_sha256	forward_producer_sha256	backward_producer_sha256	grid_sha256
1	20260101_scan01.sxm	20260101	6	84e365768e57e7b724ca375556db382699dbc7e6602e8eb64466ad3e8d7a4442	09bf73577bdfbcc2fd6a2643c1f80c872bd14c21da38a2b68c3c056c8b7f69fd	b3bac29d7dbecb0a9a46ec4b81a283c6b6cd4dda586c639b29d8ea105ecbd5ad	ae5195bd8b6b3da8c8563568e6b2565ed86277297f210bd1c80e1b63d83f8792	f79258197cd123f833e0541647c4e7107044149deb558ba765fbeee0545737ad	4f866a1e27289a0cf010a6ed4b5e0b92454dc55f97807d33cc95edb9e87182ba	d281d836d4bc5a1657762a46bc2ee0ff51ff9b3a4aff6068dee55632797d950e
1	20260101_scan02.sxm	20260101	6	84e365768e57e7b724ca375556db382699dbc7e6602e8eb64466ad3e8d7a4442	09bf73577bdfbcc2fd6a2643c1f80c872bd14c21da38a2b68c3c056c8b7f69fd	b3bac29d7dbecb0a9a46ec4b81a283c6b6cd4dda586c639b29d8ea105ecbd5ad	ae5195bd8b6b3da8c8563568e6b2565ed86277297f210bd1c80e1b63d83f8792	f79258197cd123f833e0541647c4e7107044149deb558ba765fbeee0545737ad	4f866a1e27289a0cf010a6ed4b5e0b92454dc55f97807d33cc95edb9e87182ba	d281d836d4bc5a1657762a46bc2ee0ff51ff9b3a4aff6068dee55632797d950e
1	20260101_scan03.sxm	20260101	6	84e365768e57e7b724ca375556db382699dbc7e6602e8eb64466ad3e8d7a4442	09bf73577bdfbcc2fd6a2643c1f80c872bd14c21da38a2b68c3c056c8b7f69fd	b3bac29d7dbecb0a9a46ec4b81a283c6b6cd4dda586c639b29d8ea105ecbd5ad	ae5195bd8b6b3da8c8563568e6b2565ed86277297f210bd1c80e1b63d83f8792	f79258197cd123f833e0541647c4e7107044149deb558ba765fbeee0545737ad	4f866a1e27289a0cf010a6ed4b5e0b92454dc55f97807d33cc95edb9e87182ba	d281d836d4bc5a1657762a46bc2ee0ff51ff9b3a4aff6068dee55632797d950e
1	20260101_scan04.sxm	20260101	6	84e365768e57e7b724ca375556db382699dbc7e6602e8eb64466ad3e8d7a4442	09bf73577bdfbcc2fd6a2643c1f80c872bd14c21da38a2b68c3c056c8b7f69fd	b3bac29d7dbecb0a9a46ec4b81a283c6b6cd4dda586c639b29d8ea105ecbd5ad	ae5195bd8b6b3da8c8563568e6b2565ed86277297f210bd1c80e1b63d83f8792	f79258197cd123f833e0541647c4e7107044149deb558ba765fbeee0545737ad	4f866a1e27289a0cf010a6ed4b5e0b92454dc55f97807d33cc95edb9e87182ba	d281d836d4bc5a1657762a46bc2ee0ff51ff9b3a4aff6068dee55632797d950e
1	20260102_scan01.sxm	20260102	6	84e365768e57e7b724ca375556db382699dbc7e6602e8eb64466ad3e8d7a4442	09bf73577bdfbcc2fd6a2643c1f80c872bd14c21da38a2b68c3c056c8b7f69fd	b3bac29d7dbecb0a9a46ec4b81a283c6b6cd4dda586c639b29d8ea105ecbd5ad	ae5195bd8b6b3da8c8563568e6b2565ed86277297f210bd1c80e1b63d83f8792	f79258197cd123f833e0541647c4e7107044149deb558ba765fbeee0545737ad	4f866a1e27289a0cf010a6ed4b5e0b92454dc55f97807d33cc95edb9e87182ba	d281d836d4bc5a1657762a46bc2ee0ff51ff9b3a4aff6068dee55632797d950e
1	20260102_scan02.sxm	20260102	6	84e365768e57e7b724ca375556db382699dbc7e6602e8eb64466ad3e8d7a4442	09bf73577bdfbcc2fd6a2643c1f80c872bd14c21da38a2b68c3c056c8b7f69fd	b3bac29d7dbecb0a9a46ec4b81a283c6b6cd4dda586c639b29d8ea105ecbd5ad	ae5195bd8b6b3da8c8563568e6b2565ed86277297f210bd1c80e1b63d83f8792	f79258197cd123f833e0541647c4e7107044149deb558ba765fbeee0545737ad	4f866a1e27289a0cf010a6ed4b5e0b92454dc55f97807d33cc95edb9e87182ba	d281d836d4bc5a1657762a46bc2ee0ff51ff9b3a4aff6068dee55632797d950e
1	20260102_scan03.sxm	20260102	6	84e365768e57e7b724ca375556db382699dbc7e6602e8eb64466ad3e8d7a4442	09bf73577bdfbcc2fd6a2643c1f80c872bd14c21da38a2b68c3c056c8b7f69fd	b3bac29d7dbecb0a9a46ec4b81a283c6b6cd4dda586c639b29d8ea105ecbd5ad	ae5195bd8b6b3da8c8563568e6b2565ed86277297f210bd1c80e1b63d83f8792	f79258197cd123f833e0541647c4e7107044149deb558ba765fbeee0545737ad	4f866a1e27289a0cf010a6ed4b5e0b92454dc55f97807d33cc95edb9e87182ba	d281d836d4bc5a1657762a46bc2ee0ff51ff9b3a4aff6068dee55632797d950e
1	20260102_scan04.sxm	20260102	6	84e365768e57e7b724ca375556db382699dbc7e6602e8eb64466ad3e8d7a4442	09bf73577bdfbcc2fd6a2643c1f80c872bd14c21da38a2b68c3c056c8b7f69fd	b3bac29d7dbecb0a9a46ec4b81a283c6b6cd4dda586c639b29d8ea105ecbd5ad	ae5195bd8b6b3da8c8563568e6b2565ed86277297f210bd1c80e1b63d83f8792	f79258197cd123f833e0541647c4e7107044149deb558ba765fbeee0545737ad	4f866a1e27289a0cf010a6ed4b5e0b92454dc55f97807d33cc95edb9e87182ba	d281d836d4bc5a1657762a46bc2ee0ff51ff9b3a4aff6068dee55632797d950e
1	20260103_scan01.sxm	20260103	6	84e365768e57e7b724ca375556db382699dbc7e6602e8eb64466ad3e8d7a4442	09bf73577bdfbcc2fd6a2643c1f80c872bd14c21da38a2b68c3c056c8b7f69fd	b3bac29d7dbecb0a9a46ec4b81a283c6b6cd4dda586c639b29d8ea105ecbd5ad	ae5195bd8b6b3da8c8563568e6b2565ed86277297f210bd1c80e1b63d83f8792	f79258197cd123f833e0541647c4e7107044149deb558ba765fbeee0545737ad	4f866a1e27289a0cf010a6ed4b5e0b92454dc55f97807d33cc95edb9e87182ba	d281d836d4bc5a1657762a46bc2ee0ff51ff9b3a4aff6068dee55632797d950e
1	20260103_scan02.sxm	20260103	6	84e365768e57e7b724ca375556db382699dbc7e6602e8eb64466ad3e8d7a4442	09bf73577bdfbcc2fd6a2643c1f80c872bd14c21da38a2b68c3c056c8b7f69fd	b3bac29d7dbecb0a9a46ec4b81a283c6b6cd4dda586c639b29d8ea105ecbd5ad	ae5195bd8b6b3da8c8563568e6b2565ed86277297f210bd1c80e1b63d83f8792	f79258197cd123f833e0541647c4e7107044149deb558ba765fbeee0545737ad	4f866a1e27289a0cf010a6ed4b5e0b92454dc55f97807d33cc95edb9e87182ba	d281d836d4bc5a1657762a46bc2ee0ff51ff9b3a4aff6068dee55632797d950e
