file	lobe	t_nm	amplitude	amp_prominence	amp_neighbor_ratio	integrated_prominence	amp_rel	bwd_neg_com_t	bwd_neg_diag45	split_log_skew
20260101_scan01.sxm	1	0	1.0021221160500311	-2.1360379347745178	-2.1791926192735263	-2.2245776498587402	-2.2725423067461556	-2.3233614983229032	-2.3772278354102903	-2.4342460782040316
20260101_scan01.sxm	2	0.5	0.98751559490358576	-2.1115371771815705	-2.1590243947961278	-2.2093234178106145	-2.2626418537484816	-2.3191002590510057	-2.3787286633788858	-2.4414657038431291
20260101_scan01.sxm	3	1	2.9759656915335921	2.6196204128269147	2.6818461149131592	2.7409466097369299	2.7968757542863392	2.8496788370563295	2.8994912723602551	2.9465346962720997
20260101_scan01.sxm	4	1.5	0.97030022510198666	-2.0891055140189683	-2.147617406928394	-2.2092699740156956	-2.2739434948358999	-2.341431153439602	-2.4114450009732007	-2.4836242573785872
20260101_scan01.sxm	5	2	2.9719062993812759	2.621686916941711	2.6725338956819176	2.7205241427812656	2.7659318288491477	2.8091055809334313	2.8504584314401495	2.8904559102166862
20260101_scan01.sxm	6	2.5	2.9803906913740916	2.6073988253000833	2.6532389272357788	2.6967785804658635	2.7384202682957621	2.7786211932581799	2.8178800957509482	2.8567228751188525
20260101_scan02.sxm	1	0	2.9759656915335921	2.5862522328394615	2.6564259739262606	2.7240959213177098	2.7889688706894802	2.8508322564740549	2.9095602802251377	2.9651175374455039
20260101_scan02.sxm	2	0.5	2.9703002251019868	2.6074971173757073	2.6728814917554633	2.7352876521896063	2.7945741517856622	2.8506894849274449	2.9036735722059812	2.9536566094902641
20260101_scan02.sxm	3	1	0.97190629938127615	-2.0953543311717486	-2.1505109634597717	-2.2088363082898623	-2.2703065705858099	-2.3348072858347622	-2.4021366201524912	-2.4720111892483705
20260101_scan02.sxm	4	1.5	2.9803906913740916	2.6215397310394852	2.6756186921371352	2.7266405245261378	2.7747919967987169	2.820342631367359	2.8636369340080146	2.9050844615979794
20260101_scan02.sxm	5	2	0.99367612601707656	-2.1020012623586344	-2.1683605704517994	-2.237373978596306	-2.308709549868019	-2.3819683982972961	-2.4566961889374461	-2.5323962365530481
20260101_scan02.sxm	6	2.5	1.0085098655638969	-2.1201630740362747	-2.1911160681400861	-2.2640671106887078	-2.3385707409224841	-2.4141367362550077	-2.4902442456188201	-2.5663568058444977
20260101_scan03.sxm	1	0	0.97190629938127615	-2.2164758314006905	-2.2631875494767293	-2.3126342543026235	-2.3650481261325367	-2.4205758004126672	-2.4792741402129788	-2.5411085968383866
20260101_scan03.sxm	2	0.5	2.9803906913740916	2.5161546468913851	2.5792775548874363	2.6393061013638173	2.6961673871468563	2.7498798266651843	2.8005526170531749	2.8483825899466582
20260101_scan03.sxm	3	1	2.9936761260170766	2.5240891382512487	2.5815106244173225	2.6357733686281661	2.6869707024773284	2.7352843347681204	2.7809791127641073	2.8243953865190337
20260101_scan03.sxm	4	1.5	1.0085098655638969	-2.1934287750768946	-2.256701225792443	-2.3228956669934653	-2.3917614338869546	-2.4629708461148678	-2.5361286549316091	-2.6107834384096202
20260101_scan03.sxm	5	2	1.0212600932287379	-2.2061590532136668	-2.2745751365735951	-2.3453978972387008	-2.4182432338081941	-2.4926687330750736	-2.5681864250051305	-2.6442768511405186
20260101_scan03.sxm	6	2.5	3.0288051085995109	2.4871119176672152	2.5295928631121041	2.5704118798632596	2.6100498884441024	2.6490218583941654	2.6878619614572012	2.7271081711607907
20260101_scan04.sxm	1	0	2.9936761260170766	2.374833332968743	2.4410540903908498	2.5043548242263598	2.5645682966146048	2.6216162768816633	2.6755117969671574	2.7263587757073635
20260101_scan04.sxm	2	0.5	1.0085098655638969	-2.3264481306827238	-2.3806815824609848	-2.4380733222301938	-2.4986264711832749	-2.5622530056125901	-2.6287762946744695	-2.6979361927387746
20260101_scan04.sxm	3	1	1.0212600932287379	-2.3228616035783669	-2.3828606739420475	-2.4459552080734261	-2.5119839129454324	-2.5807009020206859	-2.6517827842750012	-2.7248379877113735
20260101_scan04.sxm	4	1.5	3.0288051085995109	2.3852510003946681	2.4347245549712508	2.4814605694180925	2.5257693744566554	2.5680312783871608	2.6086856026230003	2.6482180158495874
20260101_scan04.sxm	5	2	3.0292976287718405	2.3685462763991607	2.4132576399156891	2.4558503644709928	2.496754233765631	2.5364477219846377	2.5754441991637131	2.6142771304917747
20260101_scan04.sxm	6	2.5	1.022617067630299	-2.3713832664470686	-2.4452149166962034	-2.5203443288260781	-2.5962632386664954	-2.672440620460212	-2.7483379965830763	-2.8234249621049616
20260102_scan01.sxm	1	0	1.0021221160500311	-2.1245570668718905	-2.167711751370899	-2.2130967819561129	-2.2610614388435284	-2.3118806304202759	-2.365746967507663	-2.4227652103014043
20260102_scan01.sxm	2	0.5	0.98751559490358576	-2.1000563092789433	-2.1475435268935006	-2.1978425499079872	-2.2511609858458543	-2.3076193911483784	-2.3672477954762585	-2.4299848359405019
20260102_scan01.sxm	3	1	2.9759656915335921	2.631101280729542	2.6933269828157864	2.7524274776395572	2.8083566221889664	2.8611597049589568	2.9109721402628823	2.958015564174727
20260102_scan01.sxm	4	1.5	0.97030022510198666	-2.077624646116341	-2.1361365390257667	-2.1977891061130683	-2.2624626269332726	-2.3299502855369747	-2.3999641330705734	-2.4721433894759599
