file	N	lobe	amplitude	t_nm	u_nm
20260101_scan01.sxm	6	1	1.0021221160500311	0	0
20260101_scan01.sxm	6	2	0.98751559490358576	0.5	0
20260101_scan01.sxm	6	3	2.9759656915335921	1	0
20260101_scan01.sxm	6	4	0.97030022510198666	1.5	0
20260101_scan01.sxm	6	5	2.9719062993812759	2	0
20260101_scan01.sxm	6	6	2.9803906913740916	2.5	0
20260101_scan02.sxm	6	1	2.9759656915335921	0	0
20260101_scan02.sxm	6	2	2.9703002251019868	0.5	0
20260101_scan02.sxm	6	3	0.97190629938127615	1	0
20260101_scan02.sxm	6	4	2.9803906913740916	1.5	0
20260101_scan02.sxm	6	5	0.99367612601707656	2	0
20260101_scan02.sxm	6	6	1.0085098655638969	2.5	0
20260101_scan03.sxm	6	1	0.97190629938127615	0	0
20260101_scan03.sxm	6	2	2.9803906913740916	0.5	0
20260101_scan03.sxm	6	3	2.9936761260170766	1	0
20260101_scan03.sxm	6	4	1.0085098655638969	1.5	0
20260101_scan03.sxm	6	5	1.0212600932287379	2	0
20260101_scan03.sxm	6	6	3.0288051085995109	2.5	0
20260101_scan04.sxm	6	1	2.9936761260170766	0	0
20260101_scan04.sxm	6	2	1.0085098655638969	0.5	0
20260101_scan04.sxm	6	3	1.0212600932287379	1	0
20260101_scan04.sxm	6	4	3.0288051085995109	1.5	0
20260101_scan04.sxm	6	5	3.0292976287718405	2	0
20260101_scan04.sxm	6	6	1.022617067630299	2.5	0
20260102_scan01.sxm	6	1	1.0021221160500311	0	0
20260102_scan01.sxm	6	2	0.98751559490358576	0.5	0
20260102_scan01.sxm	6	3	2.9759656915335921	1	0
20260102_scan01.sxm	6	4	0.97030022510198666	1.5	0
20260102_scan01.sxm	6	5	2.9719062993812759	2	0
20260102_scan01.sxm	6	6	2.9803906913740916	2.5	0
20260102_scan02.sxm	6	1	2.9759656915335921	0	0
20260102_scan02.sxm	6	2	2.9703002251019868	0.5	0
20260102_scan02.sxm	6	3	0.97190629938127615	1	0
20260102_scan02.sxm	6	4	2.9803906913740916	1.5	0
20260102_scan02.sxm	6	5	0.99367612601707656	2	0
20260102_scan02.sxm	6	6	1.0085098655638969	2.5	0
20260102_scan03.sxm	6	1	0.97190629938127615	0	0
20260102_scan03.sxm	6	2	2.9803906913740916	0.5	0
20260102_scan03.sxm	6	3	2.9936761260170766	1	0
20260102_scan03.sxm	6	4	1.0085098655638969	1.5	0
20260102_scan03.sxm	6	5	1.0212600932287379	2	0
20260102_scan03.sxm	6	6	3.0288051085995109	2.5	0
20260102_scan04.sxm	6	1	2.9936761260170766	0	0
20260102_scan04.sxm	6	2	1.0085098655638969	0.5	0
20260102_scan04.sxm	6	3	1.0212600932287379	1	0
20260102_scan04.sxm	6	4	3.0288051085995109	1.5	0
20260102_scan04.sxm	6	5	3.0292976287718405	2	0
20260102_scan04.sxm	6	6	1.022617067630299	2.5	0
20260103_scan01.sxm	6	1	1.0021221160500311	0	0
20260103_scan01.sxm	6	2	0.98751559490358576	0.5	0
20260103_scan01.sxm	6	3	2.9759656915335921	1	0
20260103_scan01.sxm	6	4	0.97030022510198666	1.5	0
20260103_scan01.sxm	6	5	2.9719062993812759	2	0
20260103_scan01.sxm	6	6	2.9803906913740916	2.5	0
20260103_scan02.sxm	6	1	2.9759656915335921	0	0
20260103_scan02.sxm	6	2	2.9703002251019868	0.5	0
20260103_scan02.sxm	6	3	0.97190629938127615	1	0
20260103_scan02.sxm	6	4	2.9803906913740916	1.5	0
20260103_scan02.sxm	6	5	0.99367612601707656	2	0
20260103_scan02.sxm	6	6	1.0085098655638969	2.5	0
20260103_scan03.sxm	6	1	0.97190629938127615	0	0
20260103_scan03.sxm	6	2	2.9803906913740916	0.5	0
20260103_scan03.sxm	6	3	2.9936761260170766	1	0
20260103_scan03.sxm	6	4	1.0085098655638969	1.5	0
20260103_scan03.sxm	6	5	1.0212600932287379	2	0
20260103_scan03.sxm	6	6	3.0288051085995109	2.5	0
20260103_scan04.sxm	6	1	2.9936761260170766	0	0
20260103_scan04.sxm	6	2	1.0085098655638969	0.5	0
20260103_scan04.sxm	6	3	1.0212600932287379	1	0
20260103_scan04.sxm	6	4	3.0288051085995109	1.5	0
20260103_scan04.sxm	6	5	3.0292976287718405	2	0
20260103_scan04.sxm	6	6	1.022617067630299	2.5	0
20260104_scan01.sxm	6	1	1.0021221160500311	0	0
20260104_scan01.sxm	6	2	0.98751559490358576	0.5	0
20260104_scan01.sxm	6	3	2.9759656915335921	1	0
20260104_scan01.sxm	6	4	0.97030022510198666	1.5	0
20260104_scan01.sxm	6	5	2.9719062993812759	2	0
20260104_scan01.sxm	6	6	2.9803906913740916	2.5	0
20260104_scan02.sxm	6	1	2.9759656915335921	0	0
20260104_scan02.sxm	6	2	2.9703002251019868	0.5	0
20260104_scan02.sxm	6	3	0.97190629938127615	1	0
20260104_scan02.sxm	6	4	2.9803906913740916	1.5	0
20260104_scan02.sxm	6	5	0.99367612601707656	2	0
20260104_scan02.sxm	6	6	1.0085098655638969	2.5	0
20260104_scan03.sxm	6	1	0.97190629938127615	0	0
20260104_scan03.sxm	6	2	2.9803906913740916	0.5	0
20260104_scan03.sxm	6	3	2.9936761260170766	1	0
20260104_scan03.sxm	6	4	1.0085098655638969	1.5	0
20260104_scan03.sxm	6	5	1.0212600932287379	2	0
20260104_scan03.sxm	6	6	3.0288051085995109	2.5	0
20260104_scan04.sxm	6	1	2.9936761260170766	0	0
20260104_scan04.sxm	6	2	1.0085098655638969	0.5	0
20260104_scan04.sxm	6	3	1.0212600932287379	1	0
20260104_scan04.sxm	6	4	3.0288051085995109	1.5	0
20260104_scan04.sxm	6	5	3.0292976287718405	2	0
20260104_scan04.sxm	6	6	1.022617067630299	2.5	0
20260105_scan01.sxm	6	1	1.0021221160500311	0	0
20260105_scan01.sxm	6	2	0.98751559490358576	0.5	0
20260105_scan01.sxm	6	3	2.9759656915335921	1	0
20260105_scan01.sxm	6	4	0.97030022510198666	1.5	0
20260105_scan01.sxm	6	5	2.9719062993812759	2	0
20260105_scan01.sxm	6	6	2.9803906913740916	2.5	0
20260105_scan02.sxm	6	1	2.9759656915335921	0	0
20260105_scan02.sxm	6	2	2.9703002251019868	0.5	0
20260105_scan02.sxm	6	3	0.97190629938127615	1	0
20260105_scan02.sxm	6	4	2.9803906913740916	1.5	0
20260105_scan02.sxm	6	5	0.99367612601707656	2	0
20260105_scan02.sxm	6	6	1.0085098655638969	2.5	0
20260105_scan03.sxm	6	1	0.97190629938127615	0	0
20260105_scan03.sxm	6	2	2.9803906913740916	0.5	0
20260105_scan03.sxm	6	3	2.9936761260170766	1	0
20260105_scan03.sxm	6	4	1.0085098655638969	1.5	0
20260105_scan03.sxm	6	5	1.0212600932287379	2	0
20260105_scan03.sxm	6	6	3.0288051085995109	2.5	0
20260105_scan04.sxm	6	1	2.9936761260170766	0	0
20260105_scan04.sxm	6	2	1.0085098655638969	0.5	0
20260105_scan04.sxm	6	3	1.0212600932287379	1	0
20260105_scan04.sxm	6	4	3.0288051085995109	1.5	0
20260105_scan04.sxm	6	5	3.0292976287718405	2	0
20260105_scan04.sxm	6	6	1.022617067630299	2.5	0
20260106_scan01.sxm	6	1	1.0021221160500311	0	0
20260106_scan01.sxm	6	2	0.98751559490358576	0.5	0
20260106_scan01.sxm	6	3	2.9759656915335921	1	0
20260106_scan01.sxm	6	4	0.97030022510198666	1.5	0
20260106_scan01.sxm	6	5	2.9719062993812759	2	0
20260106_scan01.sxm	6	6	2.9803906913740916	2.5	0
20260106_scan02.sxm	6	1	2.9759656915335921	0	0
20260106_scan02.sxm	6	2	2.9703002251019868	0.5	0
20260106_scan02.sxm	6	3	0.97190629938127615	1	0
20260106_scan02.sxm	6	4	2.9803906913740916	1.5	0
20260106_scan02.sxm	6	5	0.99367612601707656	2	0
20260106_scan02.sxm	6	6	1.0085098655638969	2.5	0
20260106_scan03.sxm	6	1	0.97190629938127615	0	0
20260106_scan03.sxm	6	2	2.9803906913740916	0.5	0
20260106_scan03.sxm	6	3	2.9936761260170766	1	0
20260106_scan03.sxm	6	4	1.0085098655638969	1.5	0
20260106_scan03.sxm	6	5	1.0212600932287379	2	0
20260106_scan03.sxm	6	6	3.0288051085995109	2.5	0
20260106_scan04.sxm	6	1	2.9936761260170766	0	0
20260106_scan04.sxm	6	2	1.0085098655638969	0.5	0
20260106_scan04.sxm	6	3	1.0212600932287379	1	0
20260106_scan04.sxm	6	4	3.0288051085995109	1.5	0
20260106_scan04.sxm	6	5	3.0292976287718405	2	0
20260106_scan04.sxm	6	6	1.022617067630299	2.5	0
20260107_scan01.sxm	6	1	1.0021221160500311	0	0
20260107_scan01.sxm	6	2	0.98751559490358576	0.5	0
20260107_scan01.sxm	6	3	2.9759656915335921	1	0
20260107_scan01.sxm	6	4	0.97030022510198666	1.5	0
20260107_scan01.sxm	6	5	2.9719062993812759	2	0
20260107_scan01.sxm	6	6	2.9803906913740916	2.5	0
20260107_scan02.sxm	6	1	2.9759656915335921	0	0
20260107_scan02.sxm	6	2	2.9703002251019868	0.5	0
20260107_scan02.sxm	6	3	0.97190629938127615	1	0
20260107_scan02.sxm	6	4	2.9803906913740916	1.5	0
20260107_scan02.sxm	6	5	0.99367612601707656	2	0
20260107_scan02.sxm	6	6	1.0085098655638969	2.5	0
20260107_scan03.sxm	6	1	0.97190629938127615	0	0
20260107_scan03.sxm	6	2	2.9803906913740916	0.5	0
20260107_scan03.sxm	6	3	2.9936761260170766	1	0
20260107_scan03.sxm	6	4	1.0085098655638969	1.5	0
20260107_scan03.sxm	6	5	1.0212600932287379	2	0
20260107_scan03.sxm	6	6	3.0288051085995109	2.5	0
20260107_scan04.sxm	6	1	2.9936761260170766	0	0
20260107_scan04.sxm	6	2	1.0085098655638969	0.5	0
20260107_scan04.sxm	6	3	1.0212600932287379	1	0
20260107_scan04.sxm	6	4	3.0288051085995109	1.5	0
20260107_scan04.sxm	6	5	3.0292976287718405	2	0
20260107_scan04.sxm	6	6	1.022617067630299	2.5	0
